Summary,Issue key,Issue id,Issue Type,Status,Project key,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Affects versions,Fix versions,Components,Components,Description,Custom field (Development),Custom field (Email enabled),Comment,,Status Category,Status Category Changed
Rubrics - Assignments: Remove Rubric evaluation does not fully clear the rubric form,SAK-50019,67544,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,,,Myles Carey,5ffc9a4044065f013fe3c7b4,4/26/2024 14:33,7/11/2024 8:52,8/8/2024 1:36,6/18/2024 9:47,23.1,23.2,25.0 [Tentative],,Assignments,Rubrics,"When grading assignments with Rubrics using the new grader values if the Remove is used to remove a Rubric evaluation, the form is not fully cleared. The score and comments (if entered) remain populated on the form.  (see attached video)","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-06-18T09:47:22.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"18/Jun/24 7:41 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50019 grader Clear rubric comments and scores on clear"", you can see it at https://github.com/sakaiproject/sakai/pull/12672",,Done,6/18/2024 9:47
Lessons: Cannot directly restore some page items in Reorder,SAK-50018,67543,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Core Team,6164d8abc7bea400699b1b9e,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,4/26/2024 14:01,5/2/2024 18:43,8/8/2024 1:36,,23.2,25.0 [Tentative],,,Lessons,,"Some removed items in the Reorder view (when there are lots of removed items) cannot be directly restored into the left column of the view. Please refer to the attached screencast, LessonsReorderItemDragRegression.mp4.

This bug is evident in Sakai 25 and 23 but not Sakai 22 (and earlier).",{},,,,To Do,4/26/2024 14:01
Assignments: Ungraded assignments with rubrics should have blank Grade fields,SAK-50017,67542,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,4/26/2024 13:30,7/9/2024 10:33,8/8/2024 1:36,6/25/2024 10:43,23.2,25.0 [Tentative],,,Assignments,Rubrics,"The following issue is especially pertinent with the advent of the Allow Extension feature, where an instructor would commonly want to set an extension for one or more students immediately after posting an assignment and doing so without marking the student’s work as graded. 

For assignments associated with rubrics, the Grade field is now populated in Sakai 25 and 23 with a predisposed ‘0’ score instead of leaving this field blank as with Sakai 22 (and earlier versions). Furthermore, the legacy grading interface currently doesn’t permit resetting the score to blank. Refer to the test plan for more details.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-06-25T10:43:05.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"05/May/24 6:01 PM;70121:ec0fd122-4a2d-4492-a966-78d3f9aa9080;I assigned this to myself, but might not be able to look at it for a few weeks, so anyone else could reassign and pick this one up. ",,Done,6/25/2024 10:43
Handle cell character limit exception for Question Pool export,SAK-50016,67541,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Vicent Alfonso,6164ecec2f6aed0068073f85,Vicent Alfonso,6164ecec2f6aed0068073f85,4/26/2024 10:12,7/31/2024 10:56,8/8/2024 1:36,5/6/2024 10:44,22.5,23.2,25.0 [Tentative],25.0 [Tentative],Tests & Quizzes (Samigo),,"At UPV (sakai 22) we found the following issue when trying to download a question pool:

{noformat}Caused by: java.lang.IllegalArgumentException: The maximum length of cell contents (text) is 32767 characters
                at org.apache.poi.ss.usermodel.CellBase.checkLength(CellBase.java:292)
                at org.apache.poi.ss.usermodel.CellBase.setCellValue(CellBase.java:273)
                at org.sakaiproject.tool.assessment.ui.bean.questionpool.QuestionPoolBean.getAsWorkbook(QuestionPoolBean.java:2635)
                at org.sakaiproject.tool.assessment.ui.bean.questionpool.QuestionPoolBean.writeDataToResponse(QuestionPoolBean.java:2521)
                at org.sakaiproject.tool.assessment.ui.bean.questionpool.QuestionPoolBean.exportPool(QuestionPoolBean.java:2445){noformat}

Caused by an image being inserted ‘directly’ into the question statement, instead of its link to Resources.

Basically it is using the raw data of the image, starting with 'data:image/png;base64' and following with thousands of characters.
Reaching the maximum length of cell contents and preventing the file from being downloaded.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-05-06T10:44:01.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,26/Apr/24 10:28 AM;70121:edd71bdf-212f-4544-92f7-2fc8fb688af3;[~accountid:6164ecec2f6aed0068073f85] it doesn’t appear that the test file is attached,,Done,5/6/2024 10:44
"sakai.properties, bottomnav and powered definition doesnt working",SAK-50015,67540,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,,Core Team,6164d8abc7bea400699b1b9e,Aydın MUTLU,712020:4a41949e-4ec8-4f71-a571-001dfb326c35,4/26/2024 9:21,4/29/2024 2:18,8/8/2024 1:36,,23.1,,,,Config,,"We attempted to customize the footers in our newly installed Sakai 23.1 instance by using the 'bottomnav' definition in the sakai.properties file. However, we encountered an issue where the customization changes did not reflect on the site. Additionally, the 'powered' function appears to be malfunctioning as we are unable to see the 'poweredBySakai' logo at the bottom of the main page.  (Sakai Version :  23.1  - source code installation)",{},,,,To Do,4/26/2024 9:21
Tests & Quizzes: preview doesn't work for unpublished assessments,SAK-50014,67539,Bug,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Core Team,6164d8abc7bea400699b1b9e,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,4/26/2024 8:46,4/26/2024 10:29,8/8/2024 1:36,,22.5,,,,Tests & Quizzes (Samigo),,"The tool breaks when previewing a draft assessment from the edit questions screen (but also from the menu option sometimes).

Not sure about versions affected, as I can’t always reproduce it.

{noformat}Caused by: java.lang.NullPointerException
	at org.sakaiproject.tool.assessment.facade.ExtendedTimeQueries.getEntriesForPub(ExtendedTimeQueries.java:73) ~[samigo-services-22-SNAPSHOT.jar:22-SNAPSHOT]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
	at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:344) ~[spring-aop-5.3.18.jar:5.3.18]
	at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:198) ~[spring-aop-5.3.18.jar:5.3.18]
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163) ~[spring-aop-5.3.18.jar:5.3.18]
	at org.springframework.transaction.interceptor.TransactionInterceptor$1.proceedWithInvocation(TransactionInterceptor.java:123) ~[spring-tx-5.3.18.jar:5.3.18]
	at org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction(TransactionAspectSupport.java:388) ~[spring-tx-5.3.18.jar:5.3.18]
	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:119) ~[spring-tx-5.3.18.jar:5.3.18]
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186) ~[spring-aop-5.3.18.jar:5.3.18]
	at org.springframework.aop.framework.JdkDynamicAopProxy.invoke(JdkDynamicAopProxy.java:215) ~[spring-aop-5.3.18.jar:5.3.18]
	at com.sun.proxy.$Proxy262.getEntriesForPub(Unknown Source) ~[?:?]
	at org.sakaiproject.tool.assessment.facade.ExtendedTimeFacade.getEntriesForX(ExtendedTimeFacade.java:91) ~[samigo-services-22-SNAPSHOT.jar:22-SNAPSHOT]
	at org.sakaiproject.tool.assessment.facade.ExtendedTimeFacade.getEntriesForPub(ExtendedTimeFacade.java:53) ~[samigo-services-22-SNAPSHOT.jar:22-SNAPSHOT]
	at org.sakaiproject.tool.assessment.util.ExtendedTimeDeliveryService.<init>(ExtendedTimeDeliveryService.java:91) ~[samigo-services-22-SNAPSHOT.jar:22-SNAPSHOT]
	at org.sakaiproject.tool.assessment.util.ExtendedTimeDeliveryService.<init>(ExtendedTimeDeliveryService.java:63) ~[samigo-services-22-SNAPSHOT.jar:22-SNAPSHOT]
	at org.sakaiproject.tool.assessment.ui.listener.delivery.BeginDeliveryActionListener.populateDelivery(BeginDeliveryActionListener.java:339) ~[?:?]
	at org.sakaiproject.tool.assessment.ui.listener.delivery.BeginDeliveryActionListener.populateBeanFromPub(BeginDeliveryActionListener.java:220) ~[?:?]
	at org.sakaiproject.tool.assessment.ui.listener.delivery.BeginDeliveryActionListener.processAction(BeginDeliveryActionListener.java:190) ~[?:?]{noformat}",{},,,,To Do,4/26/2024 8:46
Tests & Quizzes: file upload question don't keep hide points config,SAK-50013,67538,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Core Team,6164d8abc7bea400699b1b9e,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,4/26/2024 8:04,5/29/2024 2:14,8/8/2024 1:36,4/26/2024 14:00,22.5,23.2,25.0 [Tentative],25.0 [Tentative],Tests & Quizzes (Samigo),,"The *Display Point Value while student is taking the exam* option is not currently working for questions of type “File upload”, so points are displayed for students anyway.","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-26T14:00:35.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"26/Apr/24 8:14 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""Tests & Quizzes: file upload question don't keep hide points config"", you can see it at https://github.com/sakaiproject/sakai/pull/12550",,Done,4/26/2024 14:00
"Gateway 'Features' page: ""More"" button shrinks after clicking",SAK-50012,67537,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Non-Issue,,,Mark Golbeck,70121:22b89191-ddc3-434d-b357-64133f6fcc3d,4/25/2024 17:59,4/26/2024 10:15,8/8/2024 1:36,4/26/2024 10:15,23.2,,,,Gateway,,After clicking the More button for any of the sections on the features page the More button shrinks and is very hard to see. Attached is a picture of this occurring. ,{},,,,Done,4/26/2024 10:15
Rubrics: Copy criterion not optimal when criterion groups are used,SAK-50011,67536,Feature Request,Open,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,,,,Myles Carey,5ffc9a4044065f013fe3c7b4,4/25/2024 13:44,7/17/2024 12:31,8/8/2024 1:36,,23.1,23.2,25.0 [Tentative],,Rubrics,,"Copy criterion function places the copied criterion at the bottom of the rubric. If one or more criterion groups are being used then this placement may require the instructor to drag & drop the copied criterion to the intended location within the applicable criterion group or perhaps a section not using a group. 

Optimally the UX should placed the copied criterion to the bottom of the current group or to prior to the next group (if one exists and the criterion being copied is not in a group)",{},,"17/Jul/24 12:31 PM;557058:89b0bd66-0f67-42a4-b388-c7dbb7ceaa2d;T&L/UX looked at this today, and those present (although it was a very small group) felt that consistency in behavior was preferable. Currently, any copied item, whether it is a criterion or a criterion group, gets added to the very bottom. We didn’t see a compelling reason to change this behavior, since most users will expect it to add new items at the bottom, and they may be confused if it works differently within criterion groups. ",,To Do,4/25/2024 13:44
Grader/Rubrics: Retaining criterion comments from previous student,SAK-50010,67535,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Blocker,Fixed,Adrian Fish,557058:5489bdf1-0dcd-4429-8030-f007c405dfd0,Myles Carey,5ffc9a4044065f013fe3c7b4,4/25/2024 12:09,7/30/2024 12:21,8/8/2024 1:36,7/17/2024 8:07,23.1,23.2,23.3 [Tentative],,Assignments,Rubrics,"When grading assignments with Rubrics using the new grader values in the comment control show previous entered value when opened for a subsequent student. If the instructor changes their mind and does not want to enter a comment they will have to either clear the comment form or change focus outside of the comment form and avoid clicking ‘Done’.  (see attached video)

Note that if the instructor doesn’t open the comment form at all, then fortunately the previous value is not saved to the grading for the new student. ","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2024-07-30T12:20:56.000-0400"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,30/May/24 10:14 PM;557058:f183efde-ef00-4827-965a-da4282efb37b;Guessing this might be similar to what I just submitted a PR for on [https://sakaiproject.atlassian.net/browse/SAK-49899|https://sakaiproject.atlassian.net/browse/SAK-49899|smart-link].  Bootstrap modals were “remembering” things.,,Done,7/17/2024 8:07
Unexpected end of JSON input at SakaiRubricAssociation.js,SAK-50009,67534,Bug,Closed,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,Sam Ottenhoff,557058:48227012-f9a6-40a4-97e6-94c8ef57f33e,4/25/2024 9:53,5/1/2024 4:33,8/8/2024 1:36,4/26/2024 10:42,25.0 [Tentative],,,,Web Components,,"This is in Assignments, editing an assignment, where it fetches rubric associations.

The fetch returns a 204 which is in 200-299 so it is “ok” but empty

/api/sites/d0ec154a-c5b5-4b7f-8b97-8463b370ed87/rubric-associations/tools/sakai.assignment.grades/items/e1145b0a-e15a-44c2-8cae-7b62b8b6944f","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-26T10:42:23.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"25/Apr/24 9:57 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50009 Webcomponents rubric associations: correctly handle 204 return"", you can see it at https://github.com/sakaiproject/sakai/pull/12546",,Done,4/26/2024 10:42
Site Info: Students are able to join/leave a Joinable Set after the Close Date ends,SAK-50008,67533,Bug,Verified,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Fixed,Vicent Alfonso,6164ecec2f6aed0068073f85,Sam Ahrens,62aa23043eb34d00685f788a,4/25/2024 2:30,6/25/2024 10:36,8/8/2024 1:36,6/12/2024 6:00,25.0 [Tentative],,,,Site Info,,"If a student stays on the Site Info page AFTER the Close Date for a Joinable Set ends, and does not refresh their page, the Join/Unjoin button is still active, allowing the user to join/unjoin the group.



{panel:bgColor=#deebff}
*Dev note*

On the merged commit, two conditions were added to join a group:

* make sure the close date hasn't been reached (if there is) - also to leave the group
* each joinable set can have multiple associated groups, make sure the user doesn't join more than one of them

Their respective alert messages are also included, plus one in case the group stops being joinable
{panel}","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-06-12T06:00:12.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"30/May/24 6:39 AM;557058:b7f26689-4872-49f3-9655-910bea8a4c71;We’re going to try to fix another case not related to [https://sakaiproject.atlassian.net/browse/S2U-40|https://sakaiproject.atlassian.net/browse/S2U-40|smart-link] but at the same place: when a student trys to join two joinable groups using two browser tabs.

The verification for these two cases should take place at the same method → doJoinableSet on SiteAction",,Done,6/12/2024 6:00
